iteration,variant,batch,run_id_short,gate,score,wall_clock_s,tokens,cost_usd
1-baseline,base-rt,matrix-olap-20260421-191027,1776824002851,2,0.52,476,19922,1.374853099999999
1-baseline,base-rt,matrix-olap-20260421-191027,1776824286455,2,0.52,482,22055,1.6302902
1-baseline,moose,matrix-olap-20260421-191027,1776825366140,0,0.13333333333333333,424,18883,1.4081617000000002
1-baseline,moose,matrix-olap-20260421-191027,1776825587242,2,0.48,521,23672,1.82562465
2-infra-fixes,moose,full-olap-moose-20260422-101913,1776878462424,2,0.48,581,26966,2.1263702
2-infra-fixes,moose,full-olap-moose-20260422-101913,1776878462524,2,0.48,460,24308,1.4606459
2-infra-fixes,moose,full-olap-moose-20260422-101913,1776878462780,1,0.27999999999999997,568,25413,2.0220124999999993
3-514-skills,moose,full-olap-with514-20260422-111819,1776882053711,0,0.16666666666666669,604,26534,2.3029737999999984
3-514-skills,moose,full-olap-with514-20260422-111819,1776882053952,2,0.48,680,24958,1.8509965500000003
3-514-skills,moose,full-olap-with514-20260422-111819,1776882054101,0,0.06666666666666667,95,4454,0.27115334999999996
4-moose-basics-v1,moose,full-olap-moose-skill-20260422-134028,1776890589069,0,0.16666666666666669,438,18557,1.5363506999999992
4-moose-basics-v1,moose,full-olap-moose-skill-20260422-134028,1776890589087,0,0.13333333333333333,684,20528,1.80864195
4-moose-basics-v1,moose,full-olap-moose-skill-20260422-134028,1776890589337,2,0.48,847,33470,2.2868872999999996
5-api-mv-fixes,moose,full-olap-v2-20260422-145022,1776894651819,2,0.48,531,26191,2.1149673
5-api-mv-fixes,moose,full-olap-v2-20260422-145022,1776894654275,0,0.13333333333333333,533,24990,2.06375355
5-api-mv-fixes,moose,full-olap-v2-20260422-145022,1776894657038,2,0.48,546,24435,2.2221365
6b-v3-mid,moose,full-olap-v3-20260422-151257,1776896017577,0,0.16666666666666669,493,21770,2.1266591
6b-v3-mid,moose,full-olap-v3-20260422-151257,1776896018995,1,0.27999999999999997,566,24371,1.6554136499999998
6b-v3-mid,moose,full-olap-v3-20260422-151257,1776896021974,0,0.13333333333333333,91,4679,0.2785377
6c-v3-final,moose,full-olap-v3-20260422-160150,1776899032567,2,0.48,502,19378,1.6055540000000008
6c-v3-final,moose,full-olap-v3-20260422-160150,1776899035053,2,0.48,1018,18881,1.9473767
6c-v3-final,moose,full-olap-v3-20260422-160150,1776899037735,0,0.16666666666666669,481,21568,1.4957589999999996
